Date,Open,High,Low,Close,Adj Close,Volume
2022-09-21,27440.839844,27467.339844,27297.500000,27313.130859,27313.130859,65500000
2022-09-22,27053.580078,27197.070313,26955.179688,27153.830078,27153.830078,62200000
2022-09-26,26779.439453,26779.439453,26424.599609,26431.550781,26431.550781,96500000
2022-09-27,26585.380859,26680.199219,26523.769531,26571.869141,26571.869141,66800000
2022-09-28,26422.859375,26516.320313,25938.359375,26173.980469,26173.980469,92900000
2022-09-29,26280.500000,26458.669922,26221.779297,26422.050781,26422.050781,88900000
2022-09-30,26240.000000,26273.650391,25805.589844,25937.210938,25937.210938,101300000
2022-10-03,25778.949219,26223.839844,25621.960938,26215.789063,26215.789063,80700000
2022-10-04,26653.490234,26994.439453,26633.519531,26992.210938,26992.210938,87100000
2022-10-05,27211.320313,27216.800781,27030.550781,27120.529297,27120.529297,73300000
2022-10-06,27137.980469,27399.189453,27137.980469,27311.300781,27311.300781,69400000
2022-10-07,26975.919922,27198.910156,26921.900391,27116.109375,27116.109375,66700000
2022-10-11,26757.119141,26759.619141,26369.560547,26401.250000,26401.250000,78900000
2022-10-12,26353.220703,26495.750000,26313.410156,26396.830078,26396.830078,68800000
2022-10-13,26398.289063,26408.310547,26237.419922,26237.419922,26237.419922,59200000
2022-10-14,26599.320313,27180.160156,26595.349609,27090.759766,27090.759766,82400000
2022-10-17,26785.019531,26814.919922,26649.130859,26775.789063,26775.789063,65300000
2022-10-18,27167.730469,27229.880859,26910.099609,27156.140625,27156.140625,66100000
2022-10-19,27225.169922,27371.380859,27192.789063,27257.380859,27257.380859,57600000
2022-10-20,26981.750000,27092.550781,26872.449219,27006.960938,27006.960938,60300000
2022-10-21,26903.500000,26985.380859,26869.380859,26890.580078,26890.580078,56300000
2022-10-24,27233.000000,27308.970703,26974.900391,26974.900391,26974.900391,59100000
2022-10-25,27113.199219,27337.800781,27073.179688,27250.279297,27250.279297,62200000
2022-10-26,27410.640625,27578.050781,27404.900391,27431.839844,27431.839844,61000000
2022-10-27,27407.230469,27450.259766,27330.789063,27345.240234,27345.240234,65400000
2022-10-28,27097.380859,27265.460938,26981.080078,27105.199219,27105.199219,144600000
2022-10-31,27404.300781,27602.990234,27392.990234,27587.460938,27587.460938,71100000
2022-11-01,27614.640625,27682.970703,27526.179688,27678.919922,27678.919922,72600000
2022-11-02,27562.300781,27692.550781,27546.880859,27663.390625,27663.390625,86600000
2022-11-04,27371.890625,27389.300781,27032.019531,27199.740234,27199.740234,111100000
2022-11-07,27406.779297,27578.009766,27357.529297,27527.640625,27527.640625,78900000
2022-11-08,27718.839844,27943.269531,27704.640625,27872.109375,27872.109375,84400000
2022-11-09,27884.550781,27926.519531,27688.859375,27716.429688,27716.429688,79100000
2022-11-10,27459.080078,27485.380859,27370.619141,27446.099609,27446.099609,77100000
2022-11-11,27868.689453,28329.539063,27837.089844,28263.570313,28263.570313,103700000
2022-11-14,28277.640625,28305.039063,27963.470703,27963.470703,27963.470703,85100000
2022-11-15,27940.259766,28038.630859,27903.269531,27990.169922,27990.169922,71200000
2022-11-16,28020.490234,28069.250000,27743.150391,28028.300781,28028.300781,73200000
2022-11-17,27952.210938,28029.619141,27910.009766,27930.570313,27930.570313,58900000
2022-11-18,28009.820313,28045.439453,27877.779297,27899.769531,27899.769531,64800000
2022-11-21,27982.000000,28007.060547,27846.300781,27944.789063,27944.789063,56500000
2022-11-22,28059.509766,28203.349609,28038.160156,28115.740234,28115.740234,75900000
2022-11-24,28373.720703,28502.289063,28363.660156,28383.089844,28383.089844,83900000
2022-11-25,28398.769531,28399.880859,28263.599609,28283.029297,28283.029297,56800000
2022-11-28,28220.560547,28238.500000,28046.320313,28162.830078,28162.830078,64600000
2022-11-29,27991.500000,28055.910156,27899.980469,28027.839844,28027.839844,64800000
2022-11-30,27886.669922,27972.890625,27802.710938,27968.990234,27968.990234,106600000
2022-12-01,28273.130859,28423.460938,28226.080078,28226.080078,28226.080078,71400000
2022-12-02,27983.179688,27983.179688,27662.119141,27777.900391,27777.900391,79400000
2022-12-05,27752.990234,27854.109375,27700.859375,27820.400391,27820.400391,63900000
2022-12-06,27704.060547,27934.070313,27698.310547,27885.869141,27885.869141,60400000
2022-12-07,27670.289063,27786.250000,27646.779297,27686.400391,27686.400391,63000000
2022-12-08,27622.300781,27643.640625,27415.660156,27574.429688,27574.429688,64900000
2022-12-09,27633.960938,27952.800781,27633.960938,27901.009766,27901.009766,70200000
2022-12-12,27741.099609,27865.720703,27734.660156,27842.330078,27842.330078,49600000
2022-12-13,28067.369141,28116.560547,27907.490234,27954.849609,27954.849609,51900000
2022-12-14,28005.029297,28195.689453,27993.779297,28156.210938,28156.210938,54800000
2022-12-15,27991.140625,28163.169922,27987.539063,28051.699219,28051.699219,51100000
2022-12-16,27706.699219,27713.039063,27488.830078,27527.119141,27527.119141,83800000
2022-12-19,27279.919922,27349.580078,27165.779297,27237.640625,27237.640625,58200000
2022-12-20,27257.349609,27339.490234,26416.910156,26568.029297,26568.029297,118500000
2022-12-21,26547.169922,26616.279297,26269.800781,26387.720703,26387.720703,119200000
2022-12-22,26552.429688,26585.279297,26399.310547,26507.869141,26507.869141,73400000
2022-12-23,26207.769531,26291.980469,26106.380859,26235.250000,26235.250000,75700000
2022-12-26,26299.539063,26438.650391,26294.849609,26405.869141,26405.869141,47300000
2022-12-27,26570.779297,26620.490234,26447.869141,26447.869141,26447.869141,50200000
2022-12-28,26309.339844,26354.269531,26199.669922,26340.500000,26340.500000,61500000
2022-12-29,26074.900391,26126.699219,25953.919922,26093.669922,26093.669922,63100000
2022-12-30,26288.000000,26321.369141,26067.919922,26094.500000,26094.500000,52700000
2023-01-04,25834.929688,25840.679688,25661.890625,25716.859375,25716.859375,83300000
2023-01-05,25825.500000,25947.099609,25750.460938,25820.800781,25820.800781,72300000
2023-01-06,25740.080078,26034.060547,25719.609375,25973.849609,25973.849609,68200000
2023-01-10,26176.609375,26316.660156,26132.800781,26175.560547,26175.560547,71200000
2023-01-11,26362.210938,26479.990234,26332.050781,26446.000000,26446.000000,62400000
2023-01-12,26524.939453,26547.609375,26381.929688,26449.820313,26449.820313,77000000
2023-01-13,26391.779297,26409.210938,26090.839844,26119.519531,26119.519531,98300000
2023-01-16,25836.669922,25938.039063,25748.099609,25822.320313,25822.320313,71700000
2023-01-17,25915.509766,26198.689453,25895.300781,26138.679688,26138.679688,68100000
2023-01-18,26251.339844,26816.679688,26211.839844,26791.119141,26791.119141,93400000
2023-01-19,26541.080078,26592.869141,26368.970703,26405.230469,26405.230469,68700000
2023-01-20,26346.689453,26553.529297,26320.960938,26553.529297,26553.529297,60400000
2023-01-23,26880.210938,26938.279297,26788.759766,26906.039063,26906.039063,60200000
2023-01-24,27150.429688,27381.000000,27150.429688,27299.189453,27299.189453,70800000
2023-01-25,27175.880859,27473.900391,27175.880859,27395.009766,27395.009766,63400000
2023-01-26,27444.640625,27502.150391,27284.080078,27362.750000,27362.750000,63300000
2023-01-27,27428.410156,27452.669922,27326.910156,27382.560547,27382.560547,71500000
2023-01-30,27384.769531,27486.419922,27337.250000,27433.400391,27433.400391,65800000
2023-01-31,27458.560547,27494.169922,27302.220703,27327.109375,27327.109375,74600000
2023-02-01,27483.410156,27547.669922,27322.789063,27346.880859,27346.880859,65800000
2023-02-02,27453.669922,27472.439453,27338.429688,27402.050781,27402.050781,73200000
2023-02-03,27455.029297,27612.570313,27445.689453,27509.460938,27509.460938,92800000
2023-02-06,27764.660156,27821.220703,27656.470703,27693.650391,27693.650391,88400000
2023-02-07,27744.900391,27814.960938,27662.109375,27685.470703,27685.470703,74300000
2023-02-08,27690.740234,27719.449219,27458.529297,27606.460938,27606.460938,69000000
2023-02-09,27453.400391,27635.380859,27424.689453,27584.349609,27584.349609,61700000
2023-02-10,27711.250000,27814.019531,27609.330078,27670.980469,27670.980469,88800000
2023-02-13,27550.349609,27570.320313,27266.939453,27427.320313,27427.320313,70400000
2023-02-14,27705.369141,27721.820313,27553.179688,27602.769531,27602.769531,55800000
2023-02-15,27686.009766,27720.269531,27444.130859,27501.859375,27501.859375,72100000
2023-02-16,27654.720703,27727.660156,27597.119141,27696.439453,27696.439453,68100000
2023-02-17,27484.599609,27608.589844,27466.609375,27513.130859,27513.130859,68800000
2023-02-20,27497.130859,27531.939453,27426.480469,27531.939453,27531.939453,62500000
2023-02-21,27486.089844,27538.289063,27359.119141,27473.099609,27473.099609,61600000
2023-02-22,27265.990234,27300.529297,27046.080078,27104.320313,27104.320313,74700000
2023-02-24,27144.720703,27465.900391,27128.320313,27453.480469,27453.480469,76000000
2023-02-27,27322.730469,27456.220703,27292.740234,27423.960938,27423.960938,59400000
2023-02-28,27515.339844,27585.169922,27400.359375,27445.560547,27445.560547,86300000
2023-03-01,27363.570313,27530.759766,27305.369141,27516.529297,27516.529297,69800000
2023-03-02,27564.820313,27617.800781,27408.539063,27498.869141,27498.869141,69300000
2023-03-03,27683.259766,27961.210938,27655.339844,27927.470703,27927.470703,78200000
